Species,tissues,batch,time,value
Magallana_gigas,gills,ctrl,1,0.749774863
Magallana_gigas,gills,ctrl,1,0.911945744
Magallana_gigas,gills,ctrl,1,0.839022115
Magallana_gigas,gills,ctrl,1,0.468824272
Magallana_gigas,gills,ctrl,1,0.396289411
Magallana_gigas,digestive_tract,ctrl,1,0.525554256
Magallana_gigas,digestive_tract,ctrl,1,0.465032912
Magallana_gigas,digestive_tract,ctrl,1,0.990767045
Magallana_gigas,digestive_tract,ctrl,1,0.96643828
Magallana_gigas,digestive_tract,ctrl,1,1.614872298
Magallana_gigas,digestive_tract,ctrl,1,1.284016637
Magallana_gigas,gills,5ug/L,1,0.646998477
Magallana_gigas,gills,5ug/L,1,0.892445828
Magallana_gigas,digestive_tract,5ug/L,1,0.693576389
Magallana_gigas,digestive_tract,5ug/L,1,0.65537266
Magallana_gigas,digestive_tract,5ug/L,1,0
Magallana_gigas,digestive_tract,5ug/L,1,0
Magallana_gigas,gills,10ug/L,1,0.32310815
Magallana_gigas,gills,10ug/L,1,0.897622828
Magallana_gigas,gills,10ug/L,1,0.6328125
Magallana_gigas,gills,10ug/L,1,0.675337938
Magallana_gigas,gills,10ug/L,1,0.882260101
Magallana_gigas,digestive_tract,10ug/L,1,0.963172627
Magallana_gigas,digestive_tract,10ug/L,1,0.880093444
Magallana_gigas,digestive_tract,10ug/L,1,0.701531631
Pachygrapsus_marmoratus,gills,ctrl,1,0.074135194
Pachygrapsus_marmoratus,gills,ctrl,1,0.071811869
Pachygrapsus_marmoratus,gills,ctrl,1,0.056531538
Pachygrapsus_marmoratus,gills,ctrl,1,0.091326872
Pachygrapsus_marmoratus,digestive_tract,ctrl,1,0.153113163
Pachygrapsus_marmoratus,digestive_tract,ctrl,1,0
Pachygrapsus_marmoratus,digestive_tract,ctrl,1,0.67739899
Pachygrapsus_marmoratus,digestive_tract,ctrl,1,0.353470365
Pachygrapsus_marmoratus,gills,5ug/L,1,-0.077729269
Pachygrapsus_marmoratus,gills,5ug/L,1,0.008041119
Pachygrapsus_marmoratus,gills,5ug/L,1,0.52001634
Pachygrapsus_marmoratus,gills,5ug/L,1,0.494740605
Pachygrapsus_marmoratus,gills,5ug/L,1,0.061685328
Pachygrapsus_marmoratus,digestive_tract,5ug/L,1,-0.031584225
Pachygrapsus_marmoratus,digestive_tract,5ug/L,1,0.046854111
Pachygrapsus_marmoratus,digestive_tract,5ug/L,1,-0.056181066
Pachygrapsus_marmoratus,digestive_tract,5ug/L,1,-0.119633838
Pachygrapsus_marmoratus,gills,10ug/L,1,0.006486046
Pachygrapsus_marmoratus,gills,10ug/L,1,0.083087307
Pachygrapsus_marmoratus,gills,10ug/L,1,0.271074718
Pachygrapsus_marmoratus,gills,10ug/L,1,0.763935309
Pachygrapsus_marmoratus,gills,10ug/L,1,0.070803392
Pachygrapsus_marmoratus,digestive_tract,10ug/L,1,0.178424874
Pachygrapsus_marmoratus,digestive_tract,10ug/L,1,0.087859291
Pachygrapsus_marmoratus,digestive_tract,10ug/L,1,-0.087827958
Pachygrapsus_marmoratus,digestive_tract,10ug/L,1,-0.350758272
Carcinus_maenas,gills,ctrl,1,-0.290127841
Carcinus_maenas,gills,ctrl,1,0
Carcinus_maenas,gills,ctrl,1,-1.058621602
Carcinus_maenas,gills,ctrl,1,-0.931839071
Carcinus_maenas,gills,ctrl,1,-1.782697146
Carcinus_maenas,digestive_tract,ctrl,1,1.294385723
Carcinus_maenas,digestive_tract,ctrl,1,-1.230844753
Carcinus_maenas,digestive_tract,ctrl,1,0.074834977
Carcinus_maenas,digestive_tract,ctrl,1,0.045208519
Carcinus_maenas,digestive_tract,ctrl,1,-0.191588449
Carcinus_maenas,gills,5ug/L,1,0.926433452
Carcinus_maenas,gills,5ug/L,1,0.432082776
Carcinus_maenas,gills,5ug/L,1,0.343582888
Carcinus_maenas,gills,5ug/L,1,0.00626323
Carcinus_maenas,gills,5ug/L,1,-0.065313057
Carcinus_maenas,gills,5ug/L,1,0.764162767
Carcinus_maenas,digestive_tract,5ug/L,1,0.116386754
Carcinus_maenas,digestive_tract,5ug/L,1,0.319351604
Carcinus_maenas,digestive_tract,5ug/L,1,-0.266556883
Carcinus_maenas,digestive_tract,5ug/L,1,0.283506016
Carcinus_maenas,digestive_tract,5ug/L,1,0.204305231
Carcinus_maenas,digestive_tract,5ug/L,1,-0.344616895
Carcinus_maenas,gills,10ug/L,1,0.274896251
Carcinus_maenas,gills,10ug/L,1,0.195588699
Carcinus_maenas,gills,10ug/L,1,-0.092632436
Carcinus_maenas,gills,10ug/L,1,-0.195817318
Carcinus_maenas,gills,10ug/L,1,-2.541491431
Carcinus_maenas,gills,10ug/L,1,-0.683447527
Carcinus_maenas,digestive_tract,10ug/L,1,-1.373858066
Carcinus_maenas,digestive_tract,10ug/L,1,-0.62516131
Carcinus_maenas,digestive_tract,10ug/L,1,0.087935885
Carcinus_maenas,digestive_tract,10ug/L,1,-0.279683322
Carcinus_maenas,digestive_tract,10ug/L,1,0.223354872
Carcinus_maenas,digestive_tract,10ug/L,1,-0.108406561
Aulactinia_verrucosa,full_body,ctrl,1,-0.005572151
Aulactinia_verrucosa,full_body,ctrl,1,0.044414736
Aulactinia_verrucosa,full_body,ctrl,1,0.034882372
Aulactinia_verrucosa,full_body,ctrl,1,0.0470601
Aulactinia_verrucosa,full_body,ctrl,1,0.011794183
Aulactinia_verrucosa,full_body,5ug/L,1,-0.064393939
Aulactinia_verrucosa,full_body,5ug/L,1,-0.015114959
Aulactinia_verrucosa,full_body,5ug/L,1,-0.11025234
Aulactinia_verrucosa,full_body,5ug/L,1,0.051017412
Aulactinia_verrucosa,full_body,10ug/L,1,-0.018126462
Aulactinia_verrucosa,full_body,10ug/L,1,0.269907833
Aulactinia_verrucosa,full_body,10ug/L,1,0.072526738
Aulactinia_verrucosa,full_body,10ug/L,1,0.098179056
Actinia_equina,full_body,ctrl,1,0.708633323
Actinia_equina,full_body,ctrl,1,1.022311813
Actinia_equina,full_body,ctrl,1,1.065020611
Actinia_equina,full_body,ctrl,1,0.738892835
Actinia_equina,full_body,ctrl,1,0.96493601
Actinia_equina,full_body,ctrl,1,0.880923203
Actinia_equina,full_body,ctrl,1,0.805348986
Actinia_equina,full_body,ctrl,1,0.047733772
Actinia_equina,full_body,ctrl,1,-0.002554845
Actinia_equina,full_body,ctrl,1,0.06432547
Actinia_equina,full_body,ctrl,1,-0.083495223
Actinia_equina,full_body,5ug/L,1,0.04128138
Actinia_equina,full_body,5ug/L,1,0.048452122
Actinia_equina,full_body,5ug/L,1,0.026439139
Actinia_equina,full_body,5ug/L,1,0.094726563
Actinia_equina,full_body,5ug/L,1,-0.05917168
Actinia_equina,full_body,5ug/L,1,-0.015410887
Actinia_equina,full_body,5ug/L,1,0.249112216
Actinia_equina,full_body,5ug/L,1,0.115214646
Actinia_equina,full_body,5ug/L,1,0.0806665
Actinia_equina,full_body,5ug/L,1,0.086972668
Actinia_equina,full_body,5ug/L,1,-0.032284007
Actinia_equina,full_body,10ug/L,1,0.021986872
Actinia_equina,full_body,10ug/L,1,0.071551916
Actinia_equina,full_body,10ug/L,1,-0.058549071
Actinia_equina,full_body,10ug/L,1,-0.005194988
Actinia_equina,full_body,10ug/L,1,0.066403349
Actinia_equina,full_body,10ug/L,1,-0.032754011
Actinia_equina,full_body,10ug/L,1,-0.034672321
Actinia_equina,full_body,10ug/L,1,0.290110433
Actinia_equina,full_body,10ug/L,1,-0.011563243
Actinia_equina,full_body,10ug/L,1,0.127411523
Actinia_equina,full_body,10ug/L,1,-0.012253741
Litttorina_littorea,full_body,ctrl,1,2.015443962
Litttorina_littorea,full_body,ctrl,1,2.521880106
Litttorina_littorea,full_body,ctrl,1,2.502656389
Litttorina_littorea,full_body,ctrl,1,1.754811442
Litttorina_littorea,full_body,ctrl,1,3.888090463
Litttorina_littorea,full_body,ctrl,1,2.893504206
Litttorina_littorea,full_body,ctrl,1,1.892437704
Litttorina_littorea,full_body,ctrl,1,1.348826036
Litttorina_littorea,full_body,ctrl,1,2.005159592
Litttorina_littorea,full_body,5ug/L,1,1.574511197
Litttorina_littorea,full_body,5ug/L,1,1.332873775
Litttorina_littorea,full_body,5ug/L,1,1.80115029
Litttorina_littorea,full_body,5ug/L,1,0.921865716
Litttorina_littorea,full_body,5ug/L,1,1.13006211
Litttorina_littorea,full_body,5ug/L,1,1.419414736
Litttorina_littorea,full_body,5ug/L,1,1.333776645
Litttorina_littorea,full_body,10ug/L,1,1.082776292
Litttorina_littorea,full_body,10ug/L,1,0.865395685
Litttorina_littorea,full_body,10ug/L,1,1.169664244
Litttorina_littorea,full_body,10ug/L,1,1.599146335
Litttorina_littorea,full_body,10ug/L,1,1.160915218
Litttorina_littorea,full_body,10ug/L,1,0.716772504
Litttorina_littorea,full_body,10ug/L,1,1.144827178
Magallana_gigas,gills,ctrl,2,0.804636438
Magallana_gigas,gills,ctrl,2,0.772982583
Magallana_gigas,gills,ctrl,2,0.667608994
Magallana_gigas,gills,ctrl,2,0.393477514
Magallana_gigas,gills,ctrl,2,0.420552028
Magallana_gigas,digestive_tract,ctrl,2,0.343631629
Magallana_gigas,digestive_tract,ctrl,2,0.519106506
Magallana_gigas,digestive_tract,ctrl,2,0.440340909
Magallana_gigas,digestive_tract,ctrl,2,0.943427845
Magallana_gigas,gills,5ug/L,2,0.620768809
Magallana_gigas,gills,5ug/L,2,0.834868678
Magallana_gigas,gills,5ug/L,2,0.787275327
Magallana_gigas,gills,5ug/L,2,0.77986204
Magallana_gigas,gills,5ug/L,2,0.743976994
Magallana_gigas,digestive_tract,5ug/L,2,0.55801582
Magallana_gigas,digestive_tract,5ug/L,2,0.280873997
Magallana_gigas,digestive_tract,5ug/L,2,0.305989583
Magallana_gigas,digestive_tract,5ug/L,2,0.339530414
Magallana_gigas,digestive_tract,5ug/L,2,0
Magallana_gigas,digestive_tract,5ug/L,2,0
Magallana_gigas,gills,10ug/L,2,0.306538501
Magallana_gigas,gills,10ug/L,2,0.372242647
Magallana_gigas,gills,10ug/L,2,0.246407086
Magallana_gigas,gills,10ug/L,2,0.404801693
Magallana_gigas,digestive_tract,10ug/L,2,0.339412043
Magallana_gigas,digestive_tract,10ug/L,2,0.570040943
Magallana_gigas,digestive_tract,10ug/L,2,0.034289355
Magallana_gigas,digestive_tract,10ug/L,2,0.190707628
Magallana_gigas,digestive_tract,10ug/L,2,0.111549781
Pachygrapsus_marmoratus,gills,ctrl,2,0.028513536
Pachygrapsus_marmoratus,gills,ctrl,2,0.068221275
Pachygrapsus_marmoratus,gills,ctrl,2,0.142064023
Pachygrapsus_marmoratus,digestive_tract,ctrl,2,0.129557292
Pachygrapsus_marmoratus,digestive_tract,ctrl,2,0.577781491
Pachygrapsus_marmoratus,digestive_tract,ctrl,2,0.77047822
Pachygrapsus_marmoratus,gills,5ug/L,2,-0.084795566
Pachygrapsus_marmoratus,gills,5ug/L,2,-0.008041119
Pachygrapsus_marmoratus,gills,5ug/L,2,-0.011642157
Pachygrapsus_marmoratus,gills,5ug/L,2,0.020561776
Pachygrapsus_marmoratus,digestive_tract,5ug/L,2,-0.009410511
Pachygrapsus_marmoratus,digestive_tract,5ug/L,2,0.071064505
Pachygrapsus_marmoratus,digestive_tract,5ug/L,2,-0.10151724
Pachygrapsus_marmoratus,digestive_tract,5ug/L,2,-0.137331495
Pachygrapsus_marmoratus,digestive_tract,5ug/L,2,0.035186423
Pachygrapsus_marmoratus,gills,10ug/L,2,-0.097290692
Pachygrapsus_marmoratus,gills,10ug/L,2,-0.005934808
Pachygrapsus_marmoratus,gills,10ug/L,2,0.14596331
Pachygrapsus_marmoratus,gills,10ug/L,2,-0.076393531
Pachygrapsus_marmoratus,gills,10ug/L,2,-0.157340872
Pachygrapsus_marmoratus,digestive_tract,10ug/L,2,0.205364769
Pachygrapsus_marmoratus,digestive_tract,10ug/L,2,0.010495581
Pachygrapsus_marmoratus,digestive_tract,10ug/L,2,0.051251253
Pachygrapsus_marmoratus,digestive_tract,10ug/L,2,0.019517324
Pachygrapsus_marmoratus,digestive_tract,10ug/L,2,-0.042516154
Carcinus_maenas,gills,ctrl,2,0.068714489
Carcinus_maenas,gills,ctrl,2,0.070177882
Carcinus_maenas,gills,ctrl,2,0.130291889
Carcinus_maenas,gills,ctrl,2,0.0801582
Carcinus_maenas,gills,ctrl,2,0.098582331
Carcinus_maenas,digestive_tract,ctrl,2,-0.070925245
Carcinus_maenas,digestive_tract,ctrl,2,0.091173685
Carcinus_maenas,digestive_tract,ctrl,2,-0.059867981
Carcinus_maenas,digestive_tract,ctrl,2,-0.033906389
Carcinus_maenas,digestive_tract,ctrl,2,-0.100836026
Carcinus_maenas,gills,5ug/L,2,-0.348559121
Carcinus_maenas,gills,5ug/L,2,0.159682765
Carcinus_maenas,gills,5ug/L,2,-0.047719846
Carcinus_maenas,gills,5ug/L,2,0.215037554
Carcinus_maenas,gills,5ug/L,2,0.006531306
Carcinus_maenas,gills,5ug/L,2,-0.268872085
Carcinus_maenas,digestive_tract,5ug/L,2,-0.128025429
Carcinus_maenas,digestive_tract,5ug/L,2,0.294786096
Carcinus_maenas,digestive_tract,5ug/L,2,0.350732741
Carcinus_maenas,digestive_tract,5ug/L,2,0.224442263
Carcinus_maenas,digestive_tract,5ug/L,2,0.177943265
Carcinus_maenas,digestive_tract,5ug/L,2,0.030632613
Carcinus_maenas,gills,10ug/L,2,-0.083664076
Carcinus_maenas,gills,10ug/L,2,0.195588699
Carcinus_maenas,gills,10ug/L,2,0.041169972
Carcinus_maenas,gills,10ug/L,2,0.013054488
Carcinus_maenas,gills,10ug/L,2,-0.631325897
Carcinus_maenas,gills,10ug/L,2,0.550091912
Carcinus_maenas,digestive_tract,10ug/L,2,-0.346674465
Carcinus_maenas,digestive_tract,10ug/L,2,-0.350700247
Carcinus_maenas,digestive_tract,10ug/L,2,-0.087935885
Carcinus_maenas,digestive_tract,10ug/L,2,-0.155379623
Carcinus_maenas,digestive_tract,10ug/L,2,0.029133244
Carcinus_maenas,digestive_tract,10ug/L,2,-0.039939259
Aulactinia_verrucosa,full_body,ctrl,2,-0.011144301
Aulactinia_verrucosa,full_body,ctrl,2,0.005551842
Aulactinia_verrucosa,full_body,ctrl,2,-0.009966392
Aulactinia_verrucosa,full_body,ctrl,2,0.012834573
Aulactinia_verrucosa,full_body,ctrl,2,0.011794183
Aulactinia_verrucosa,full_body,5ug/L,2,-0.010732323
Aulactinia_verrucosa,full_body,5ug/L,2,-0.015114959
Aulactinia_verrucosa,full_body,5ug/L,2,-0.031500668
Aulactinia_verrucosa,full_body,5ug/L,2,0.009275893
Aulactinia_verrucosa,full_body,10ug/L,2,0
Aulactinia_verrucosa,full_body,10ug/L,2,0.044066585
Aulactinia_verrucosa,full_body,10ug/L,2,-0.020721925
Aulactinia_verrucosa,full_body,10ug/L,2,-0.046201909
Actinia_equina,full_body,ctrl,2,0.058564737
Actinia_equina,full_body,ctrl,2,0.051689923
Actinia_equina,full_body,ctrl,2,0.051533255
Actinia_equina,full_body,ctrl,2,0
Actinia_equina,full_body,ctrl,2,0.063903047
Actinia_equina,full_body,ctrl,2,0.052159926
Actinia_equina,full_body,ctrl,2,-0.009821329
Actinia_equina,full_body,ctrl,2,0.04176705
Actinia_equina,full_body,ctrl,2,-0.005109691
Actinia_equina,full_body,ctrl,2,0.02339108
Actinia_equina,full_body,ctrl,2,0.055663482
Actinia_equina,full_body,5ug/L,2,0.005160172
Actinia_equina,full_body,5ug/L,2,0
Actinia_equina,full_body,5ug/L,2,0.042302622
Actinia_equina,full_body,5ug/L,2,0.027860754
Actinia_equina,full_body,5ug/L,2,0.009861947
Actinia_equina,full_body,5ug/L,2,0
Actinia_equina,full_body,5ug/L,2,-0.021661932
Actinia_equina,full_body,5ug/L,2,-0.011521465
Actinia_equina,full_body,5ug/L,2,-0.010755533
Actinia_equina,full_body,5ug/L,2,0
Actinia_equina,full_body,5ug/L,2,0.010761336
Actinia_equina,full_body,10ug/L,2,-0.005496718
Actinia_equina,full_body,10ug/L,2,0.005110851
Actinia_equina,full_body,10ug/L,2,-0.021290571
Actinia_equina,full_body,10ug/L,2,-0.031169925
Actinia_equina,full_body,10ug/L,2,-0.00510795
Actinia_equina,full_body,10ug/L,2,0.010918004
Actinia_equina,full_body,10ug/L,2,-0.01155744
Actinia_equina,full_body,10ug/L,2,-0.037840491
Actinia_equina,full_body,10ug/L,2,-0.011563243
Actinia_equina,full_body,10ug/L,2,-0.089188066
Actinia_equina,full_body,10ug/L,2,0
Litttorina_littorea,full_body,ctrl,2,2.073028075
Litttorina_littorea,full_body,ctrl,2,2.277037377
Litttorina_littorea,full_body,ctrl,2,2.328342014
Litttorina_littorea,full_body,ctrl,2,3.61480615
Litttorina_littorea,full_body,ctrl,2,2.724950563
Litttorina_littorea,full_body,ctrl,2,2.346173128
Litttorina_littorea,full_body,5ug/L,2,1.599703376
Litttorina_littorea,full_body,5ug/L,2,1.39185049
Litttorina_littorea,full_body,5ug/L,2,1.754966949
Litttorina_littorea,full_body,5ug/L,2,1.085561497
Litttorina_littorea,full_body,5ug/L,2,1.226924577
Litttorina_littorea,full_body,5ug/L,2,1.394942068
Litttorina_littorea,full_body,5ug/L,2,1.41496305
Litttorina_littorea,full_body,10ug/L,2,1.330912526
Litttorina_littorea,full_body,10ug/L,2,0.823181261
Litttorina_littorea,full_body,10ug/L,2,1.830161681
Litttorina_littorea,full_body,10ug/L,2,1.191943562
Litttorina_littorea,full_body,10ug/L,2,1.566510695
Litttorina_littorea,full_body,10ug/L,2,1.13327438
Litttorina_littorea,full_body,10ug/L,2,0.692880088
Litttorina_littorea,full_body,10ug/L,2,1.052714646
Magallana_gigas,gills,ctrl,3,0.006757217
