species,tissues,batch,MDA
Magallana_gigas,gills,ctrl,0.693938352
Magallana_gigas,gills,ctrl,0.638275317
Magallana_gigas,gills,ctrl,1.118455516
Magallana_gigas,gills,ctrl,1.338483298
Magallana_gigas,digestive_tract,ctrl,0.874601952
Magallana_gigas,digestive_tract,ctrl,1.227426804
Magallana_gigas,digestive_tract,ctrl,1.371022452
Magallana_gigas,digestive_tract,ctrl,1.120312673
Magallana_gigas,gills,5ug/L,1.570111994
Magallana_gigas,gills,5ug/L,1.41479574
Magallana_gigas,gills,5ug/L,2.194674141
Magallana_gigas,gills,5ug/L,1.851816522
Magallana_gigas,gills,5ug/L,1.751708938
Magallana_gigas,gills,5ug/L,1.913720942
Magallana_gigas,digestive_tract,5ug/L,1.710160221
Magallana_gigas,digestive_tract,5ug/L,1.723666495
Magallana_gigas,digestive_tract,5ug/L,1.250058106
Magallana_gigas,digestive_tract,5ug/L,1.423277887
Magallana_gigas,digestive_tract,5ug/L,1.998934231
Magallana_gigas,gills,10ug/L,1.825780374
Magallana_gigas,gills,10ug/L,1.293227771
Magallana_gigas,gills,10ug/L,1.635960603
Magallana_gigas,gills,10ug/L,1.177303595
Magallana_gigas,digestive_tract,10ug/L,1.244275031
Magallana_gigas,digestive_tract,10ug/L,1.407589946
Magallana_gigas,digestive_tract,10ug/L,1.589566512
Magallana_gigas,digestive_tract,10ug/L,1.413580431
Magallana_gigas,digestive_tract,10ug/L,1.359670094
Pachygrapsus_marmoratus,gills,ctrl,0.403996569
Pachygrapsus_marmoratus,gills,ctrl,0.16967397
Pachygrapsus_marmoratus,gills,ctrl,0.222153063
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.475316858
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.135211296
Pachygrapsus_marmoratus,digestive_tract,ctrl,0.340972482
Pachygrapsus_marmoratus,gills,5ug/L,0.154782857
Pachygrapsus_marmoratus,gills,5ug/L,0.169216359
Pachygrapsus_marmoratus,gills,5ug/L,0.311669366
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.305671229
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.149998138
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.401645686
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.186366432
Pachygrapsus_marmoratus,digestive_tract,5ug/L,0.125198852
Pachygrapsus_marmoratus,gills,10ug/L,0.082360865
Pachygrapsus_marmoratus,gills,10ug/L,0.106993887
Pachygrapsus_marmoratus,gills,10ug/L,0.176913301
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.377737261
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.739246571
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.307040639
Pachygrapsus_marmoratus,digestive_tract,10ug/L,0.435987902
Carcinus_maenas,gills,ctrl,0.304689019
Carcinus_maenas,gills,ctrl,0.210515489
Carcinus_maenas,gills,ctrl,0.278549067
Carcinus_maenas,gills,ctrl,0.157411103
Carcinus_maenas,gills,ctrl,0.292724322
Carcinus_maenas,digestive_tract,ctrl,0.313849679
Carcinus_maenas,digestive_tract,ctrl,0.42327861
Carcinus_maenas,digestive_tract,ctrl,0.38085443
Carcinus_maenas,digestive_tract,ctrl,0.265318049
Carcinus_maenas,digestive_tract,ctrl,0.422238646
Carcinus_maenas,gills,5ug/L,0.390605977
Carcinus_maenas,gills,5ug/L,1.588302573
Carcinus_maenas,gills,5ug/L,0.32195845
Carcinus_maenas,gills,5ug/L,0.209242813
Carcinus_maenas,gills,5ug/L,0.185869746
Carcinus_maenas,gills,5ug/L,0.405533992
Carcinus_maenas,digestive_tract,5ug/L,0.447530923
Carcinus_maenas,digestive_tract,5ug/L,0.310541351
Carcinus_maenas,digestive_tract,5ug/L,0.218233817
Carcinus_maenas,digestive_tract,5ug/L,0.195301809
Carcinus_maenas,digestive_tract,5ug/L,0.094115262
Carcinus_maenas,digestive_tract,5ug/L,0.271332081
Carcinus_maenas,gills,10ug/L,0.267636486
Carcinus_maenas,gills,10ug/L,0.293498492
Carcinus_maenas,gills,10ug/L,0.397196112
Carcinus_maenas,gills,10ug/L,0.128779745
Carcinus_maenas,gills,10ug/L,0.160601032
Carcinus_maenas,gills,10ug/L,0.226220961
Carcinus_maenas,digestive_tract,10ug/L,0.204848111
Carcinus_maenas,digestive_tract,10ug/L,0.244883073
Carcinus_maenas,digestive_tract,10ug/L,0.130309195
Carcinus_maenas,digestive_tract,10ug/L,0.228053069
Carcinus_maenas,digestive_tract,10ug/L,0.115536567
Carcinus_maenas,digestive_tract,10ug/L,0.19460422
Aulactinia_verrucosa,full_body,ctrl,3.971230867
Aulactinia_verrucosa,full_body,ctrl,2.192274224
Aulactinia_verrucosa,full_body,ctrl,2.273722629
Aulactinia_verrucosa,full_body,ctrl,1.617579643
Aulactinia_verrucosa,full_body,5ug/L,4.832179739
Aulactinia_verrucosa,full_body,5ug/L,2.19455686
Aulactinia_verrucosa,full_body,5ug/L,0.334544
Aulactinia_verrucosa,full_body,5ug/L,3.009861873
Aulactinia_verrucosa,full_body,10ug/L,2.165661727
Aulactinia_verrucosa,full_body,10ug/L,1.544388768
Aulactinia_verrucosa,full_body,10ug/L,3.61690783
Aulactinia_verrucosa,full_body,10ug/L,5.376492169
Actinia_equina,full_body,ctrl,3.267892058
Actinia_equina,full_body,ctrl,2.966119672
Actinia_equina,full_body,ctrl,2.210208705
Actinia_equina,full_body,ctrl,2.88837202
Actinia_equina,full_body,ctrl,3.120279102
Actinia_equina,full_body,ctrl,2.07008089
Actinia_equina,full_body,ctrl,3.739848723
Actinia_equina,full_body,ctrl,3.337483747
Actinia_equina,full_body,ctrl,3.337379364
Actinia_equina,full_body,ctrl,3.3599551
Actinia_equina,full_body,5ug/L,1.704435086
Actinia_equina,full_body,5ug/L,6.864512466
Actinia_equina,full_body,5ug/L,3.50406505
Actinia_equina,full_body,5ug/L,1.403318961
Actinia_equina,full_body,5ug/L,3.60572449
Actinia_equina,full_body,5ug/L,2.246653068
Actinia_equina,full_body,5ug/L,3.078366269
Actinia_equina,full_body,5ug/L,1.946321041
Actinia_equina,full_body,5ug/L,2.397675583
Actinia_equina,full_body,5ug/L,1.554083484
Actinia_equina,full_body,10ug/L,3.147592705
Actinia_equina,full_body,10ug/L,4.565626645
Actinia_equina,full_body,10ug/L,4.505764892
Actinia_equina,full_body,10ug/L,3.529147207
Actinia_equina,full_body,10ug/L,2.779846397
Actinia_equina,full_body,10ug/L,4.494445872
Actinia_equina,full_body,10ug/L,2.533692204
Actinia_equina,full_body,10ug/L,3.32933759
Actinia_equina,full_body,10ug/L,4.321380902
Actinia_equina,full_body,10ug/L,3.849620212
Littorina_littorea,full_body,ctrl,1.71802561
Littorina_littorea,full_body,ctrl,0.567345872
Littorina_littorea,full_body,ctrl,0
Littorina_littorea,full_body,ctrl,0.636309315
Littorina_littorea,full_body,ctrl,0
Littorina_littorea,full_body,ctrl,0
Littorina_littorea,full_body,ctrl,0
Littorina_littorea,full_body,ctrl,0.436358778
Littorina_littorea,full_body,ctrl,0.534273741
Littorina_littorea,full_body,ctrl,0
Littorina_littorea,full_body,ctrl,0.405698165
Littorina_littorea,full_body,ctrl,0.592000555
Littorina_littorea,full_body,5ug/L,0.237860424
Littorina_littorea,full_body,5ug/L,1.232747404
Littorina_littorea,full_body,5ug/L,0
Littorina_littorea,full_body,5ug/L,1.366584671
Littorina_littorea,full_body,5ug/L,0
Littorina_littorea,full_body,5ug/L,1.280292805
Littorina_littorea,full_body,5ug/L,1.059585895
Littorina_littorea,full_body,5ug/L,0.80313312
Littorina_littorea,full_body,5ug/L,0
Littorina_littorea,full_body,5ug/L,0
Littorina_littorea,full_body,5ug/L,1.151906316
Littorina_littorea,full_body,5ug/L,0.88136849
Littorina_littorea,full_body,10ug/L,1.415237053
Littorina_littorea,full_body,10ug/L,1.016776865
Littorina_littorea,full_body,10ug/L,1.40299851
Littorina_littorea,full_body,10ug/L,1.222458598
Littorina_littorea,full_body,10ug/L,1.03095913
Littorina_littorea,full_body,10ug/L,0.670912528
Littorina_littorea,full_body,10ug/L,1.341504395
Littorina_littorea,full_body,10ug/L,0.8144676
